Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: UIDAI),1000,1000000
17/04/2020,Andaman and Nicobar Islands,1403,12,1210,181,,,50,,,,https://t.me/indiacovid/2550,,0.86%,3.411317892,3411.317892,411278,,
24/04/2020,Andaman and Nicobar Islands,2679,27,,246,,,50,,,280,https://t.me/indiacovid/3147?single,,1.01%,6.513842219,6513.842219,,,
27/04/2020,Andaman and Nicobar Islands,2848,33,,106,,,50,,,298,https://t.me/indiacovid/3365?single,,,,,,,
02/04/2020,Andhra Pradesh,1800,132,1175,493,179,,23479,2680,330,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,7.33%,0.03371364763,33.71364763,53390841,,
10/04/2020,Andhra Pradesh,6374,365,6009,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.73%,0.1193837722,119.3837722,,,
11/04/2020,Andhra Pradesh,6958,381,6577,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.48%,0.1303219779,130.3219779,,,
12/04/2020,Andhra Pradesh,6958,405,6553,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.82%,0.1303219779,130.3219779,,,
13/04/2020,Andhra Pradesh,8755,432,8323,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.93%,0.1639794361,163.9794361,,,
14/04/2020,Andhra Pradesh,10505,473,10032,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.50%,0.1967565935,196.7565935,,,
15/04/2020,Andhra Pradesh,11613,525,11088,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.52%,0.2175092166,217.5092166,,,
16/04/2020,Andhra Pradesh,20235,534,19701,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.64%,0.3789975887,378.9975887,,,
17/04/2020,Andhra Pradesh,20235,572,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,2.83%,0.3789975887,378.9975887,,,
18/04/2020,Andhra Pradesh,21450,603,20487,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.81%,0.4017543009,401.7543009,,,
19/04/2020,Andhra Pradesh,26958,647,26311,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.40%,0.5049180626,504.9180626,,,
20/04/2020,Andhra Pradesh,30733,722,30011,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.35%,0.5756230736,575.6230736,,,
21/04/2020,Andhra Pradesh,35755,757,34998,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.12%,0.6696841505,669.6841505,,,
22/04/2020,Andhra Pradesh,41512,813,40699,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.96%,0.7775116335,777.5116335,,,
23/04/2020,Andhra Pradesh,48032,893,47139,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.86%,0.8996299571,899.6299571,,,
24/04/2020,Andhra Pradesh,54338,955,53383,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.76%,1.017740103,1017.740103,,,
25/04/2020,Andhra Pradesh,61266,1016,60250,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.66%,1.147500186,1147.500186,,,
26/04/2020,Andhra Pradesh,68034,1097,66937,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.61%,1.274263501,1274.263501,,,
27/04/2020,Andhra Pradesh,74551,1177,73374,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.58%,1.396325636,1396.325636,,,
28/04/2020,Andhra Pradesh,80334,1259,79075,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.57%,1.504640094,1504.640094,,,
29/04/2020,Andhra Pradesh,88061,1332,86729,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,,,
30/04/2020,Andhra Pradesh,,,,,,,,,,,,,,,,,,
09/04/2020,Arunachal Pradesh,206,1,185,20,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,0.49%,0.1330082594,133.0082594,1548776,,
14/04/2020,Arunachal Pradesh,280,1,250,29,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,0.36%,0.1807879254,180.7879254,,,
17/04/2020,Arunachal Pradesh,363,1,338,25,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,0.28%,0.2343786319,234.3786319,,,
18/04/2020,Arunachal Pradesh,389,1,358,31,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,0.26%,0.2511660821,251.1660821,,,
19/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,0,0,,,
20/04/2020,Arunachal Pradesh,439,1,405,34,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,0.23%,0.2834496402,283.4496402,,,
21/04/2020,Arunachal Pradesh,454,1,433,19,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.22%,0.2931347077,293.1347077,,,
22/04/2020,Arunachal Pradesh,496,2,441,53,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.40%,0.3202528965,320.2528965,,,
23/04/2020,Arunachal Pradesh,,,,,,,,,,,,,0.38%,0.3396230313,339.6230313,,,
24/04/2020,Arunachal Pradesh,526,2,508,16,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,,0,0,,,
25/04/2020,Arunachal Pradesh,,,,,,,,,,,,,0.35%,0.3667412202,366.7412202,,,
26/04/2020,Arunachal Pradesh,568,2,529,37,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.34%,0.3770719588,377.0719588,,,
27/04/2020,Arunachal Pradesh,584,2,566,16,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.33%,0.393859409,393.859409,,,
28/04/2020,Arunachal Pradesh,610,2,581,27,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,1.66%,0.6211356581,621.1356581,,,
29/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,
30/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,
02/04/2020,Assam,962,16,819,127,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,1.66%,0.02742238659,27.42238659,35080827,,
05/04/2020,Assam,,,,,,,,,,,,,,0,0,,,
10/04/2020,Assam,2863,29,2685,,,,3212,440,240,9245,https://t.me/indiacovid/2003?single,,1.01%,0.08161153099,81.61153099,,,
